id	proveedor	tipo_envio	peso	volumen	fecha	origen	destino	precio
27	Coches Coco	1	56	98	26/09/2004	Lugo	Ciudad Real	22.56
28	Pepe Gotera y Otilio	1	21	22	11/10/2005	Segovia	Pontevedra	12.58
29	Cafes el amanencer	3	10	30	15/09/2006	Ceuta	Albacete	152.31
30	Pepe Gotera y Otilio	3	87	58	02/02/2005	Las Palmas de Gran Canaria	Albacete	116.69
31	Vigas Figas	1	45	46	17/04/2006	Teruel	Madrid	245.46
32	Infraestructuras Fracturas	2	32	5	19/02/2006	Pontevedra	San Sebastian	2.27
33	Cafes el amanencer	1	28	72	10/01/2001	Pontevedra	Badajoz	4.55
34	Electronica Chispas	3	62	37	09/01/2003	Avila	Santander	338.84
35	Vigas Figas	3	85	70	07/08/2003	Gerona	Gerona	203.05
36	Cafes el amanencer	2	62	72	22/01/2006	Zaragoza	Oviedo	17.72
37	Quimicas Babum	1	41	58	23/06/2007	Almeria	Huelva	276.31
38	Pepe Gotera y Otilio	3	85	39	02/08/2000	Logrono	Almeria	92.13
39	Quimicas Babum	2	75	31	21/01/2001	Bilbao	Melilla	320.25
40	Infraestructuras Fracturas	3	10	26	21/08/2003	Caceres	Albacete	450.48
41	Quimicas Babum	1	30	10	19/09/2000	Leon	Palencia	68.47
42	Pepe Gotera y Otilio	2	72	42	21/05/2004	Lerida	Zaragoza	9.08
43	Quimicas Babum	3	69	77	22/09/2007	Lugo	Tarragona	223.75
44	Pepe Gotera y Otilio	2	51	50	21/04/2006	Murcia	Murcia	72.95
45	Quimicas Babum	3	23	57	06/08/2005	Melilla	Malaga	345.88
46	Infraestructuras Fracturas	2	15	16	24/11/2005	Segovia	Vitoria	218.8
47	Cafes el amanencer	1	67	29	13/11/2005	Salamanca	Toledo	138.32
48	Coches Coco	1	25	69	13/02/2005	Orense	Melilla	30.17
49	Pepe Gotera y Otilio	2	40	72	21/03/2006	La Coruna	Palma de Mallorca	36.57
50	Vigas Figas	2	2	77	20/07/2003	Albacete	Badajoz	94.94
51	Quimicas Babum	2	84	56	27/12/2000	Palma de Mallorca	Malaga	333.88
52	Pepe Gotera y Otilio	1	91	92	17/08/2000	Tarragona	Cadiz	111.8
53	Vigas Figas	2	24	12	15/12/2004	Cadiz	Avila	117.5
54	Coches Coco	1	23	56	03/09/2007	Caceres	Lugo	242.28
55	Pepe Gotera y Otilio	2	34	94	01/07/2007	Malaga	Murcia	154.51
56	Vigas Figas	3	47	38	10/05/2002	Ciudad Real	Tarragona	2.89
57	Pepe Gotera y Otilio	3	68	2	04/10/2004	Ciudad Real	Sevilla	29.53
58	Infraestructuras Fracturas	2	5	4	19/06/2007	Guadalajara	Caceres	78.83
59	Pepe Gotera y Otilio	1	18	17	14/09/2001	Ciudad Real	Malaga	47.11
60	Infraestructuras Fracturas	3	78	96	04/04/2006	Huelva	Granada	28.65
61	Electronica Chispas	1	77	51	17/05/2007	Granada	Valencia	345.3
62	Infraestructuras Fracturas	1	71	58	03/09/2002	Oviedo	Avila	31.07
63	Quimicas Babum	3	12	35	25/06/2005	Avila	Huelva	88.85
64	Quimicas Babum	3	7	43	30/03/2005	Tarragona	Zaragoza	15.48
65	Electronica Chispas	1	38	19	10/09/2005	Ciudad Real	Barcelona	42.13
66	Electronica Chispas	1	9	30	13/04/2006	Zaragoza	Toledo	34.73
67	Pepe Gotera y Otilio	1	63	14	12/04/2002	Las Palmas de Gran Canaria	Zamora	214.05
68	Electronica Chispas	2	23	16	19/11/2002	Pamplona	Cadiz	43.35
69	Vigas Figas	3	41	25	31/05/2000	Cadiz	Palencia	134.82
70	Coches Coco	3	4	29	13/03/2002	Sevilla	Zaragoza	33.41
71	Coches Coco	2	15	98	15/08/2001	Pontevedra	Granada	160.16
72	Vigas Figas	2	4	91	19/07/2004	Soria	Guadalajara	44.66
73	Electronica Chispas	3	26	6	25/08/2002	Murcia	Cordoba	69.0
74	Vigas Figas	3	30	75	09/07/2000	Sevilla	Alicante	23.53
75	Quimicas Babum	3	100	8	28/07/2000	Valencia	Madrid	311.29
76	Electronica Chispas	3	46	36	16/06/2004	Palma de Mallorca	Tarragona	13.73
77	Infraestructuras Fracturas	1	86	59	a9/04/2007	Bilbao	Huelva	88.81
78	Electronica Chispas	1	20	39	11/12/2003	Madrid	Pontevedra	353.96
79	Electronica Chispas	2	11	0	20/05/2000	Santa Cruz de Tenerife	Toledo	390.05
80	Vigas Figas	1	5	53	08/06/2001	Zamora	Palma de Mallorca	106.15
81	Coches Coco	2	41	98	20/05/2002	Pontevedra	Lerida	132.36
82	Pepe Gotera y Otilio	3	75	68	27/07/2001	Melilla	Gerona	183.89
83	Vigas Figas	2	50	67	15/02/2006	La Coruna	Pontevedra	123.19
84	Infraestructuras Fracturas	2	61	36	10/05/2001	Zaragoza	Segovia	21.73
85	Infraestructuras Fracturas	2	98	80	13/05/2001	Lugo	Burgos	92.96
86	Pepe Gotera y Otilio	2	7	65	14/03/2006	Tarragona	Cadiz	239.53
87	Infraestructuras Fracturas	2	59	67	16/03/2007	Huelva	Albacete	201.05
88	Quimicas Babum	3	96	14	05/04/2007	Leon	Teruel	142..33
89	Cafes el amanencer	3	90	40	23/06/2001	Zaragoza	Leon	41.92
90	Cafes el amanencer	2	6	58	07/12/2004	Jaen	Soria	101.26
91	Electronica Chispas	3	95	62	31/03/2002	Segovia	Melilla	175.08
92	Quimicas Babum	3	49	34	02/10/2006	Melilla	Bilbao	37.59
93	Electronica Chispas	1	5	25	11/07/2003	Cuenca	Soria	114.78
94	Cafes el amanencer	3	4	38	23/11/2003	Granada	Albacete	102.51
95	Coches Coco	3	56	92	10/06/2005	Tarragona	Almeria	282.3
96	Pepe Gotera y Otilio	1	73	19	19/05/2005	Lerida	Huesca	128.96
97	Electronica Chispas	1	37	3	31/08/2001	Tarragona	Leon	2.34
98	Infraestructuras Fracturas	1	63	74	21/11/2001	Huelva	Albacete	57.33
99	Coches Coco	2	51	96	25/02/2006	Barcelona	Santander	162.95
100	Vigas Figas	2	31	52	23/02/2006	Valladolid	Vitoria	12.41
101	Pepe Gotera y Otilio	1	47	59	23/10/2003	Melilla	Bilbao	239.32
102	Cafes el amanencer	1	67	93	19/09/2004	Pamplona	Zaragoza	181.98
103	Quimicas Babum	2	22	48	14/10/2003	Huelva	Gerona	0.44
104	Cafes el amanencer	2	16	83	27/12/2000	Oviedo	Huelva	99.64
105	Infraestructuras Fracturas	3	83	38	27/08/2003	Tarragona	Ciudad Real	149.97
106	Pepe Gotera y Otilio	3	2	92	05/03/2007	Sevilla	Bilbao	153.23
107	Pepe Gotera y Otilio	2	54	45	29/01/2005	Huelva	Cordoba	238.36
108	Quimicas Babum	2	79	64	10/07/2002	Sevilla	Cuenca	321.78
109	Quimicas Babum	1	34	69	04/06/2004	Vitoria	Huelva	385.2
110	Pepe Gotera y Otilio	3	34	66	05/10/2002	Murcia	Zamora	4.04
111	Infraestructuras Fracturas	3	7	13	06/10/2001	Valencia	Santa Cruz de Tenerife	14.91
112	Infraestructuras Fracturas	2	96	14	30/05/2001	Soria	Vitoria	26.9
113	Infraestructuras Fracturas	3	82	12	04/05/2000	Burgos	Segovia	19.73
114	Coches Coco	3	22	100	04/06/2002	Cordoba	Santander	10.85
115	Pepe Gotera y Otilio	1	66	32	05/11/2001	Murcia	Santa Cruz de Tenerife	412.88
116	Electronica Chispas	1	62	99	12/12/2001	Badajoz	Ceuta	189.47
117	Infraestructuras Fracturas	2	32	62	20/02/2004	Ciudad Real	Toledo	85.42
118	Electronica Chispas	3	9	8	25/12/2002	Zamora	Valladolid	24.86
119	Pepe Gotera y Otilio	2	86	47	28/11/2005	Almeria	Cadiz	146.93
120	Coches Coco	1	5	51	27/11/2000	Badajoz	Zaragoza	138.15
121	Quimicas Babum	3	68	31	16/11/2003	Palencia	Malaga	46.8
122	Pepe Gotera y Otilio	3	79	0	25/08/2004	Barcelona	Alicante	254.86
123	Vigas Figas	1	76	39	01/02/2004	Tarragona	Pamplona	58.3
124	Infraestructuras Fracturas	2	32	74	30/03/2001	San Sebastian	Castellon	91.56
125	Infraestructuras Fracturas	2	44	2	18/05/2001	Sevilla	Zaragoza	71.97
126	Cafes el amanencer	2	6	98	14/07/2007	Malaga	Lerida	106.79
127	Infraestructuras Fracturas	2	37	57	14/10/2005	Logrono	Toledo	104.78
128	Infraestructuras Fracturas	3	85	3	18/09/2007	Granada	Jaen	204.9
129	Cafes el amanencer	1	88	15	14/07/2002	Melilla	Almeria	135.18
130	Electronica Chispas	3	31	76	04/04/2004	Sevilla	Melilla	144.09
131	Pepe Gotera y Otilio	2	23	87	24/01/2005	Avila	Almeria	242.86
132	Pepe Gotera y Otilio	3	53	4	08/06/2006	Tarragona	Barcelona	177.76
133	Quimicas Babum	2	5	72	09/02/2002	Pontevedra	Bilbao	302.22
134	Quimicas Babum	3	85	77	04/03/2004	Orense	Huesca	125.86
135	Infraestructuras Fracturas	3	14	83	22/11/2007	Orense	Madrid	74.64
136	Coches Coco	3	80	76	03/03/2001	Oviedo	Lerida	39.1
137	Electronica Chispas	3	54	24	28/07/2005	Lugo	Pamplona	21.7
138	Quimicas Babum	2	65	29	26/08/2000	Castellon	Valencia	267.47
139	Pepe Gotera y Otilio	2	76	48	08/02/2001	Palencia	Lugo	387.64
140	Vigas Figas	3	15	38	02/03/2007	Bilbao	Cadiz	81.79
141	Coches Coco	1	72	73	10/11/2007	Burgos	Huelva	12.53
142	Electronica Chispas	1	57	41	19/10/2005	Salamanca	Leon	152.67
143	Pepe Gotera y Otilio	3	67	23	10/09/2002	Ciudad Real	Albacete	219.78
144	Coches Coco	1	96	90	05/08/2003	Guadalajara	Toledo	15.85
145	Pepe Gotera y Otilio	2	47	91	17/05/2005	Palma de Mallorca	Palma de Mallorca	91.59
146	Electronica Chispas	2	14	1	30/11/2003	Leon	Leon	256.59
147	Pepe Gotera y Otilio	3	84	33	01/09/2003	Jaen	Zaragoza	3.91
148	Cafes el amanencer	1	58	74	31/12/2002	Huesca	Soria	9.14
149	Infraestructuras Fracturas	3	64	67	29/06/2002	Tarragona	Pontevedra	28.15
150	Infraestructuras Fracturas	2	82	83	26/05/2002	Cordoba	Soria	211.09
151	Infraestructuras Fracturas	2	77	73	03/05/2002	Alicante	Valencia	6.09
152	Vigas Figas	1	55	44	26/04/2003	Melilla	Las Palmas de Gran Canaria	136.63
153	Quimicas Babum	2	52	24	28/01/2006	Palencia	Burgos	19.96
154	Quimicas Babum	2	42	22	26/02/2004	Valencia	Avila	265.17
155	Infraestructuras Fracturas	3	41	52	10/07/2005	Valladolid	Santa Cruz de Tenerife	186.43
156	Infraestructuras Fracturas	3	58	15	25/08/2002	Zamora	Albacete	267.94
157	Vigas Figas	3	81	79	08/11/2000	Cordoba	Avila	33.8
158	Coches Coco	3	77	19	15/12/2004	Santa Cruz de Tenerife	Cadiz	305.06
159	Infraestructuras Fracturas	3	94	22	25/09/2000	Zamora	Teruel	72.89
160	Pepe Gotera y Otilio	1	100	78	04/08/2002	Alicante	Albacete	22.33
161	Vigas Figas	1	62	11	10/10/2004	Almeria	Huesca	336.31
162	Pepe Gotera y Otilio	1	16	53	20/10/2000	Gerona	Cadiz	69.44
163	Electronica Chispas	3	61	63	27/10/2001	Granada	Murcia	41.69
164	Cafes el amanencer	3	92	22	07/07/2006	Logrono	Avila	230.41
165	Coches Coco	3	69	53	29/05/2006	Huesca	Bilbao	103.48
166	Cafes el amanencer	2	10	38	07/03/2005	San Sebastian	Almeria	385.09
167	Cafes el amanencer	3	93	61	08/01/2005	Pontevedra	Madrid	40.23
168	Quimicas Babum	3	2	60	10/12/2004	Sevilla	Granada	299.57
169	Pepe Gotera y Otilio	1	46	18	25/04/2004	Huesca	Tarragona	61.22
170	Infraestructuras Fracturas	2	0	4	11/01/2006	Murcia	Segovia	193.34
171	Quimicas Babum	1	19	35	19/11/2000	Oviedo	Cordoba	179.68
172	Vigas Figas	2	21	66	07/11/2001	Albacete	Palencia	396.0
173	Cafes el amanencer	2	16	84	04/07/2003	Segovia	Huesca	216.34
174	Vigas Figas	2	43	95	12/06/2005	Murcia	Pamplona	50.66
175	Infraestructuras Fracturas	2	20	20	16/02/2003	Pamplona	Vitoria	0.86
176	Infraestructuras Fracturas	3	1	67	23/09/2005	Bilbao	Pontevedra	142.1
177	Coches Coco	3	20	51	08/08/2003	Toledo	Guadalajara	331.11
178	Pepe Gotera y Otilio	2	77	61	24/12/2007	Valladolid	Salamanca	27.24
179	Coches Coco	3	1	29	09/05/2006	Caceres	Pontevedra	85.53
180	Quimicas Babum	1	68	6	09/11/2004	Badajoz	Pamplona	278.16
181	Vigas Figas	1	70	34	26/08/2007	La Coruna	Leon	156.84
182	Infraestructuras Fracturas	3	95	64	12/08/2007	Guadalajara	San Sebastian	43.73
183	Electronica Chispas	1	83	46	20/04/2001	Almeria	Pontevedra	41.19
184	Electronica Chispas	3	82	88	04/04/2005	Las Palmas de Gran Canaria	Cordoba	33.76
185	Vigas Figas	3	27	44	26/10/2001	Ciudad Real	Toledo	162.45
186	Electronica Chispas	3	87	39	05/06/2005	Segovia	Tarragona	121.41
187	Vigas Figas	2	0	45	23/09/2001	Albacete	Oviedo	120.89
188	Infraestructuras Fracturas	2	80	54	10/08/2002	Caceres	Alicante	321.2
189	Pepe Gotera y Otilio	1	73	4	10/02/2004	Malaga	Cordoba	62.76
190	Electronica Chispas	3	45	100	15/02/2001	Alicante	Alicante	154.57
191	Coches Coco	2	49	96	17/11/2002	Pontevedra	Bilbao	17.35
192	Vigas Figas	1	91	21	08/09/2003	Santander	Cordoba	60.56
193	Electronica Chispas	3	0	52	23/07/2002	Huesca	Palma de Mallorca	355.21
194	Coches Coco	2	50	61	28/01/2000	Zamora	Teruel	180.23
195	Infraestructuras Fracturas	2	12	97	28/01/2003	Segovia	Cordoba	31.95
196	Vigas Figas	1	42	43	20/06/2002	Cadiz	Badajoz	425.99
197	Pepe Gotera y Otilio	1	13	58	08/08/2004	Albacete	Zamora	132.03
198	Cafes el amanencer	1	35	0	08/08/2007	Cadiz	Pamplona	74.28
199	Coches Coco	3	5	21	24/01/2000	Guadalajara	Madrid	88.31
200	Cafes el amanencer	1	34	11	17/06/2003	Granada	Pontevedra	280.14
201	Vigas Figas	2	33	32	17/05/2003	Cordoba	Santa Cruz de Tenerife	110.99
202	Electronica Chispas	2	88	60	19/12/2002	Oviedo	Cadiz	227.3
203	Quimicas Babum	1	46	74	09/08/2003	Avila	Pamplona	61.27
204	Quimicas Babum	2	10	78	26/04/2000	Pontevedra	Madrid	191.86
205	Cafes el amanencer	1	22	42	22/05/2003	Gerona	Salamanca	383.42
206	Quimicas Babum	3	87	56	03/03/2001	Huesca	San Sebastian	320.02
207	Quimicas Babum	2	77	52	04/10/2002	Badajoz	Badajoz	334.66
208	Quimicas Babum	1	76	49	29/04/2003	Badajoz	Burgos	15.94
209	Cafes el amanencer	2	82	64	16/06/2006	Pontevedra	Teruel	135.75
210	Pepe Gotera y Otilio	1	29	22	23/07/2007	Zaragoza	Cuenca	32.18
211	Quimicas Babum	3	28	16	02/07/2005	Ceuta	Tarragona	267.04
212	Cafes el amanencer	1	68	83	30/10/2001	Barcelona	Palencia	154.58
213	Electronica Chispas	3	7	61	05/04/2003	Melilla	Avila	196.72
214	Infraestructuras Fracturas	1	6	57	14/11/2002	Caceres	Orense	72.97
215	Pepe Gotera y Otilio	1	24	11	10/11/2004	Logrono	Almeria	46.35
216	Coches Coco	2	27	6	24/08/2002	San Sebastian	Soria	18.86
217	Cafes el amanencer	2	33	65	25/02/2007	Melilla	Santa Cruz de Tenerife	298.34
218	Cafes el amanencer	1	37	46	28/06/2006	Palencia	Bilbao	139.62
219	Cafes el amanencer	2	25	60	03/11/2003	Toledo	Alicante	214.42
220	Quimicas Babum	2	60	53	15/04/2006	Leon	Pontevedra	347.45
221	Cafes el amanencer	2	63	64	18/04/2007	Ceuta	Lugo	1.73
222	Vigas Figas	3	68	25	12/04/2007	Avila	Cuenca	223.26
223	Electronica Chispas	1	73	40	02/06/2004	Alicante	Guadalajara	5.35
224	Coches Coco	3	36	70	26/04/2003	Guadalajara	Zamora	284.5
225	Vigas Figas	1	56	74	15/01/2003	Oviedo	Tarragona	382.62
226	Pepe Gotera y Otilio	2	60	10	16/04/2004	Santander	Burgos	27.66
227	Pepe Gotera y Otilio	1	13	88	01/07/2004	Las Palmas de Gran Canaria	Leon	270.67
228	Infraestructuras Fracturas	3	11	80	26/10/2004	Granada	Albacete	17.73
229	Cafes el amanencer	2	5	74	13/05/2005	La Coruna	Sevilla	256.18
230	Cafes el amanencer	1	50	89	19/03/2005	Toledo	Barcelona	5.35
231	Electronica Chispas	2	38	64	30/10/2000	Segovia	Barcelona	155.73
232	Cafes el amanencer	1	21	28	24/02/2003	Albacete	Granada	136.6
233	Infraestructuras Fracturas	1	45	75	01/05/2003	Granada	Malaga	116.82
234	Infraestructuras Fracturas	1	97	28	13/10/2001	Palma de Mallorca	Soria	29.69
235	Pepe Gotera y Otilio	3	7	72	13/06/2000	Gerona	Zamora	214.07
236	Coches Coco	1	41	3	15/09/2005	Caceres	Castellon	106.3
237	Quimicas Babum	2	40	78	18/07/2001	Segovia	Caceres	12.86
238	Quimicas Babum	2	31	13	13/07/2003	Logrono	Zamora	27.5
239	Infraestructuras Fracturas	2	34	7	17/09/2007	Albacete	Almeria	87.4
240	Quimicas Babum	3	93	51	09/09/2003	Zaragoza	Barcelona	35.54
241	Pepe Gotera y Otilio	1	43	13	27/03/2005	Caceres	Oviedo	73.68
242	Vigas Figas	1	56	68	14/07/2007	Santander	Cordoba	33.37
243	Infraestructuras Fracturas	1	58	93	21/07/2007	Badajoz	Zamora	101.12
244	Pepe Gotera y Otilio	2	16	17	03/12/2007	Ciudad Real	Guadalajara	136.87
245	Vigas Figas	1	33	19	22/02/2003	Palencia	Albacete	136.77
246	Cafes el amanencer	3	83	48	28/04/2003	Melilla	Caceres	9.18
247	Pepe Gotera y Otilio	1	37	67	14/02/2001	Albacete	Jaen	7.42
248	Pepe Gotera y Otilio	1	25	90	08/08/2000	Lugo	Pamplona	16.26
249	Infraestructuras Fracturas	1	84	85	22/03/2003	Pontevedra	Guadalajara	235.76
250	Quimicas Babum	1	51	1	24/09/2003	Valencia	Pontevedra	12.24
251	Pepe Gotera y Otilio	3	11	70	01/03/2001	Cadiz	Tarragona	21.7
252	Cafes el amanencer	3	8	97	15/01/2006	Melilla	Lugo	226.25
253	Vigas Figas	3	45	12	01/09/2007	Valladolid	Castellon	58.23
254	Coches Coco	2	45	50	11/10/2007	Huelva	Madrid	62.82
255	Cafes el amanencer	2	71	1	23/03/2001	Las Palmas de Gran Canaria	Las Palmas de Gran Canaria	74.25
256	Infraestructuras Fracturas	2	87	60	15/06/2003	Palma de Mallorca	Santa Cruz de Tenerife	80.15
257	Infraestructuras Fracturas	3	25	17	05/05/2001	Valencia	Huesca	406.95
258	Electronica Chispas	1	13	0	23/05/2002	Las Palmas de Gran Canaria	Barcelona	1.48
259	Pepe Gotera y Otilio	3	79	44	24/04/2001	Guadalajara	Melilla	161.13
260	Quimicas Babum	3	72	29	19/01/2002	Vitoria	La Coruna	23.04
261	Electronica Chispas	3	64	55	21/12/2000	Tarragona	Segovia	357.68
262	Coches Coco	1	36	64	21/01/2001	Palma de Mallorca	Ciudad Real	4.68
263	Quimicas Babum	1	69	72	11/09/2003	Palencia	Palma de Mallorca	21.61
264	Electronica Chispas	1	40	27	21/06/2001	Huelva	Avila	20.15
265	Vigas Figas	2	7	48	30/09/2004	Zamora	Badajoz	63.98
266	Vigas Figas	3	100	28	21/03/2000	Almeria	Caceres	23.73
267	Pepe Gotera y Otilio	1	18	53	25/12/2000	Valladolid	San Sebastian	29.42
268	Coches Coco	3	7	82	14/02/2001	Santander	Vitoria	218.93
269	Electronica Chispas	1	85	62	03/08/2005	Bilbao	Segovia	17.7
270	Cafes el amanencer	2	62	57	12/06/2006	Santa Cruz de Tenerife	Santa Cruz de Tenerife	0.62
271	Quimicas Babum	3	14	8	31/08/2002	Sevilla	Cuenca	5.71
272	Cafes el amanencer	3	80	30	02/10/2000	Murcia	Barcelona	132.61
273	Infraestructuras Fracturas	3	14	32	24/10/2002	Bilbao	Madrid	292.12
274	Cafes el amanencer	1	81	50	26/06/2003	Teruel	Leon	93.56
275	Coches Coco	3	76	1	27/09/2004	Palencia	Pontevedra	64.9
276	Coches Coco	3	97	68	02/10/2002	Lerida	Toledo	24.37
277	Pepe Gotera y Otilio	1	93	98	05/04/2007	Leon	Melilla	287.45
278	Infraestructuras Fracturas	1	90	23	20/01/2002	Valencia	Bilbao	60.98
279	Vigas Figas	2	94	25	27/10/2005	Leon	Palencia	3.88
280	Electronica Chispas	1	81	13	19/09/2000	Barcelona	Vitoria	238.09
281	Infraestructuras Fracturas	1	37	38	24/11/2003	Melilla	Madrid	371.46
282	Infraestructuras Fracturas	3	73	16	15/04/2002	San Sebastian	Salamanca	89.08
283	Pepe Gotera y Otilio	3	96	85	15/10/2001	Ciudad Real	Malaga	177.81
284	Vigas Figas	1	17	94	17/01/2003	Pontevedra	Zaragoza	221.07
285	Coches Coco	1	45	66	03/01/2004	Alicante	Murcia	18.91
286	Coches Coco	3	52	5	14/08/2003	Santa Cruz de Tenerife	Alicante	2.75
287	Cafes el amanencer	2	86	99	19/10/2002	Oviedo	Cadiz	207.85
288	Pepe Gotera y Otilio	1	83	54	05/01/2006	Ceuta	Palma de Mallorca	51.42
289	Vigas Figas	2	74	8	08/05/2007	Salamanca	Pamplona	200.43
290	Pepe Gotera y Otilio	3	65	11	17/05/2001	Castellon	Granada	89.3
291	Vigas Figas	1	41	19	15/06/2002	Vitoria	Santa Cruz de Tenerife	199.52
292	Infraestructuras Fracturas	1	96	34	08/08/2000	Palma de Mallorca	Ciudad Real	204.16
293	Infraestructuras Fracturas	1	91	82	22/02/2003	Avila	Almeria	84.24
294	Pepe Gotera y Otilio	3	53	12	17/11/2006	Jaen	Sevilla	221.08
295	Pepe Gotera y Otilio	3	17	71	03/12/2000	Oviedo	Albacete	165.67
296	Electronica Chispas	1	80	3	11/03/2005	Zaragoza	Palma de Mallorca	117.84
297	Electronica Chispas	1	43	39	10/08/2003	Castellon	Vitoria	21.41
298	Coches Coco	3	17	35	01/12/2001	Murcia	Santander	53.41
299	Quimicas Babum	1	41	68	05/04/2002	Sevilla	Cuenca	198.38
300	Vigas Figas	1	11	94	29/11/2005	San Sebastian	Jaen	29.55
301	Electronica Chispas	3	75	86	14/12/2001	Orense	Lugo	17.82
302	Quimicas Babum	3	43	37	01/01/2004	Gerona	Badajoz	207.88
303	Infraestructuras Fracturas	1	56	93	03/08/2001	Castellon	Bilbao	22.22
304	Cafes el amanencer	1	4	60	08/10/2000	Alicante	Salamanca	2.38
305	Cafes el amanencer	1	52	54	21/11/2002	Huelva	Huelva	63.58
306	Pepe Gotera y Otilio	1	3	12	19/12/2003	Orense	Badajoz	20.77
307	Vigas Figas	1	8	87	03/12/2001	Huesca	Melilla	56.92
308	Infraestructuras Fracturas	1	40	1	18/09/2005	Oviedo	Madrid	241.78
309	Electronica Chispas	3	95	23	15/12/2004	Gerona	Segovia	12.48
310	Vigas Figas	3	5	83	27/02/2000	Santander	Salamanca	184.87
311	Electronica Chispas	2	77	67	17/05/2002	Madrid	Gerona	7.38
312	Cafes el amanencer	1	21	47	07/07/2004	Huesca	Soria	129.54
313	Electronica Chispas	2	81	19	28/08/2003	Palma de Mallorca	Jaen	48.83
314	Electronica Chispas	2	57	66	21/04/2005	Badajoz	Valladolid	10.54
315	Infraestructuras Fracturas	2	53	97	20/12/2006	Vitoria	Castellon	32.23
316	Coches Coco	1	99	38	02/12/2000	Soria	Jaen	206.58
317	Cafes el amanencer	3	88	7	13/02/2003	Soria	Oviedo	382.71
318	Cafes el amanencer	1	30	67	03/05/2002	Lerida	Gerona	220.8
319	Electronica Chispas	1	34	86	09/01/2001	Logrono	Guadalajara	282.76
320	Coches Coco	2	32	54	17/01/2001	Huelva	Castellon	286.43
321	Vigas Figas	3	32	58	30/10/2007	Huesca	Castellon	21.67
322	Vigas Figas	1	51	49	09/12/2005	Segovia	Lerida	44.97
323	Quimicas Babum	2	6	54	24/05/2004	Valladolid	Burgos	56.35
324	Vigas Figas	1	13	69	15/01/2004	Castellon	Ceuta	129.52
325	Infraestructuras Fracturas	2	56	32	16/05/2001	Castellon	Pontevedra	90.52
326	Coches Coco	1	95	99	08/08/2003	Oviedo	San Sebastian	113.49
327	Cafes el amanencer	1	3	78	18/08/2003	Avila	Huelva	51.16
328	Pepe Gotera y Otilio	1	5	21	05/10/2004	Teruel	Huelva	129.47
329	Quimicas Babum	2	91	46	07/09/2002	Leon	Orense	87.83
330	Vigas Figas	2	13	66	21/01/2005	Soria	Malaga	126.28
331	Pepe Gotera y Otilio	3	90	57	29/09/2001	Logrono	Caceres	181.81
332	Vigas Figas	1	22	93	16/02/2004	Cordoba	Zaragoza	43.76
333	Quimicas Babum	1	28	63	28/10/2007	Bilbao	Badajoz	31.46
334	Pepe Gotera y Otilio	3	98	68	21/06/2002	Alicante	Cadiz	122.9
335	Cafes el amanencer	2	42	100	26/08/2004	Madrid	Albacete	42.35
336	Infraestructuras Fracturas	1	50	73	29/03/2007	Cuenca	Vitoria	3.67
337	Cafes el amanencer	2	100	62	28/02/2000	Pamplona	Sevilla	23.52
338	Infraestructuras Fracturas	3	42	48	13/10/2004	Oviedo	Orense	5.38
